,United States,United States OECD,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Spain,Sweden,Switzerland,Turkey,United Kingdom,Four Big European,Brazil,Chile,China (People's Republic of),Estonia,India,Indonesia,Israel,Russia,Slovenia,South Africa,OECD + Major Six NME,Major Five Asia
1970-02,1,98.40839,100.8738,100.9187,99.67683,98.23696,100,100.4113,100,100.2768,100.289,100,100,100,100.4831,100.7241,100,100,101.3931,100,100,100,100,100,100,101.1006,101.1854,100,98.31654,99.88934,100,100,100,100,100,100,100,100,100,100,100,100
1970-03,1,98.15738,100.5177,100.7963,99.39949,98.01389,100,100.3608,100,100.1303,100.1105,100,100,100,100.3297,100.6887,100,100,101.1685,100,100,100,100,100,100,100.9667,100.9333,100,98.45231,99.78661,100,100,100,100,100,100,100,100,100,100,100,100
1970-04,1,97.96184,100.1312,100.7046,99.19254,97.82628,100,100.2725,100,99.97199,99.9881,100,100,100,100.1755,100.5512,100,100,100.93,100,100,100,100,100,100,100.8218,100.6814,100,98.52969,99.68858,100,100,100,100,100,100,100,100,100,100,100,100
1970-05,1,97.84346,99.78973,100.644,99.05251,97.68288,100,100.1053,100,99.81329,99.90936,100,100,100,100.0265,100.3258,100,100,100.7234,100,100,100,100,100,100,100.6712,100.4433,100,98.53901,99.59297,100,100,100,100,100,100,100,100,100,100,100,100
1970-06,1,97.7968,99.53688,100.5996,99.00008,97.59676,100,99.83618,100,99.66225,99.85499,100,100,100,99.89017,100.0501,100,100,100.5778,100,100,100,100,100,100,100.5191,100.197,100,98.50552,99.50185,100,100,100,100,100,100,100,100,100,100,100,100
1970-07,1,97.80022,99.38841,100.5531,99.04456,97.56268,100,99.49204,100,99.55259,99.81492,100,100,100,99.7384,99.73045,100,100,100.4888,100,100,100,100,100,100,100.3557,100.0373,100,98.43715,99.41447,100,100,100,100,100,100,100,100,100,100,100,100
1970-08,1,97.84728,99.33039,100.4924,99.16386,97.59196,100,99.13482,100,99.52182,99.77412,100,100,100,99.55395,99.38382,100,100,100.4153,100,100,100,100,100,100,100.1764,99.96161,100,98.35529,99.3345,100,100,100,100,100,100,100,100,100,100,100,100
1970-09,1,97.95104,99.32991,100.4136,99.31413,97.68982,100,98.83614,100,99.58038,99.72005,100,100,100,99.33847,99.02682,100,100,100.3196,100,100,100,100,100,100,99.98123,99.93679,100,98.29552,99.26749,100,100,100,100,100,100,100,100,100,100,100,100
1970-10,1,98.13844,99.35305,100.325,99.43956,97.87882,100,98.64299,100,99.70561,99.65764,100,100,100,99.10024,98.68642,100,100,100.1902,100,100,100,100,100,100,99.78466,99.94773,100,98.26163,99.21265,100,100,100,100,100,100,100,100,100,100,100,100
1970-11,1,98.44173,99.35854,100.2324,99.46022,98.17867,100,98.57478,100,99.86965,99.5982,100,100,100,98.86113,98.37624,100,100,100.0317,100,100,100,100,100,100,99.59634,100.0175,100,98.2639,99.17464,100,100,100,100,100,100,100,100,100,100,100,100
1970-12,0,98.85008,99.32923,100.145,99.29819,98.5745,100,98.61948,100,100.0217,99.53864,100,100,100,98.62984,98.10604,100,100,99.86711,100,100,100,100,100,100,99.4231,100.1326,100,98.31536,99.14548,100,100,100,100,100,100,100,100,100,100,100,100
1971-01,0,99.28707,99.2546,100.0661,99.00645,99.01489,100,98.73246,100,100.1188,99.46056,100,100,100,98.42484,97.88806,100,100,99.71069,100,100,100,100,100,100,99.26289,100.2694,100,98.41634,99.11348,100,100,100,100,100,100,100,100,100,100,100,100
1971-02,0,99.66932,99.1401,99.99162,98.67641,99.45113,100,98.8715,100,100.1579,99.35586,100,100,100,98.24916,97.74878,100,100,99.56287,100,100,100,100,100,100,99.0988,100.3974,100,98.5883,99.08015,100,100,100,100,100,100,100,100,100,100,100,100
1971-03,0,99.94917,99.01258,99.91184,98.38935,99.83443,100,98.99897,100,100.1373,99.20938,100,100,100,98.12286,97.70145,100,100,99.39969,100,100,100,100,100,100,98.94846,100.4825,100,98.85304,99.04894,100,100,100,100,100,100,100,100,100,100,100,100
1971-04,0,100.1266,98.89005,99.81703,98.16425,100.1496,100,99.114,100,100.0703,99.01639,100,100,100,98.06785,97.71301,100,100,99.20608,100,100,100,100,100,100,98.81329,100.4909,100,99.21882,99.02795,100,100,100,100,100,100,100,100,100,100,100,100
1971-05,0,100.2147,98.76752,99.70458,98.00893,100.3915,100,99.19534,100,99.98682,98.79314,100,100,100,98.08192,97.77038,100,100,98.97074,100,100,100,100,100,100,98.72005,100.4023,100,99.65752,99.02345,100,100,100,100,100,100,100,100,100,100,100,100
1971-06,0,100.2415,98.6459,99.57545,97.89944,100.568,100,99.26453,100,99.9235,98.54676,100,100,100,98.12487,97.8553,100,100,98.70689,100,100,100,100,100,100,98.68918,100.2021,100,100.1575,99.03452,100,100,100,100,100,100,100,100,100,100,100,100
1971-07,0,100.2442,98.50716,99.42911,97.83262,100.6966,100,99.34383,100,99.88942,98.2862,100,100,100,98.20775,97.94112,100,100,98.43298,100,100,100,100,100,100,98.71049,99.88472,100,100.7104,99.06718,100,100,100,100,100,100,100,100,100,100,100,100
1971-08,0,100.2611,98.34841,99.28045,97.84667,100.8048,100,99.42873,100,99.85721,98.04079,100,100,100,98.32967,97.99926,100,100,98.19234,100,100,100,100,100,100,98.74711,99.5042,100,101.2687,99.11557,100,100,100,100,100,100,100,100,100,100,100,100
1971-09,0,100.3317,98.19932,99.15231,97.97747,100.8927,100,99.4967,100,99.82219,97.87784,100,100,100,98.49791,98.03632,100,100,98.01859,100,100,100,100,100,100,98.78423,99.13015,100,101.8086,99.19853,100,100,100,100,100,100,100,100,100,100,100,100
1971-10,0,100.486,98.09425,99.07259,98.22647,100.9763,100,99.51629,100,99.7888,97.84543,100,100,100,98.71521,98.08867,100,100,97.94089,100,100,100,100,100,100,98.82552,98.80969,100,102.3041,99.32897,100,100,100,100,100,100,100,100,100,100,100,100
1971-11,0,100.7352,98.081,99.06808,98.56395,101.0873,100,99.48312,100,99.78284,97.96039,100,100,100,98.93743,98.19135,100,100,97.97942,100,100,100,100,100,100,98.88734,98.59019,100,102.7412,99.50548,100,100,100,100,100,100,100,100,100,100,100,100
